EMPRESA_SIGLA;EMPRESA_NOME;EMPRESA_NACIONALIDADE;ANO;MES;AEROPORTO_DE_ORIGEM_SIGLA;AEROPORTO_DE_ORIGEM_NOME;AEROPORTO_DE_ORIGEM_UF;AEROPORTO_DE_ORIGEM_REGIAO;AEROPORTO_DE_ORIGEM_PAIS;AEROPORTO_DE_ORIGEM_CONTINENTE;AEROPORTO_DE_DESTINO_SIGLA;AEROPORTO_DE_DESTINO_NOME;AEROPORTO_DE_DESTINO_UF;AEROPORTO_DE_DESTINO_REGIAO;AEROPORTO_DE_DESTINO_PAIS;AEROPORTO_DE_DESTINO_CONTINENTE;NATUREZA;GRUPO_DE_VOO;PASSAGEIROS_PAGOS;PASSAGEIROS_GRATIS;CARGA_PAGA_KG;CARGA_GRATIS_KG;CORREIO_KG;ASK;RPK;ATK;RTK;COMBUSTIVEL_LITROS;DISTANCIA_VOADA_KM;DECOLAGENS;CARGA_PAGA_KM;CARGA_GRATIS_KM;CORREIO_KM;ASSENTOS;PAYLOAD;HORAS_VOADAS;BAGAGEM_KG
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2000;1;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;10744.0;367.0;16089.0;5201.0;0.0;9510876.0;3932304.0;1169370.0;325789.0;220161.0;77958.0;213.0;5888574.0;1903566.0;0.0;25986.0;3195000.0;174,52;68536.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2000;2;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;11053.0;298.0;13456.0;4200.0;0.0;10180656.0;4045398.0;1251720.0;329578.0;232940.0;83448.0;228.0;4924896.0;1537200.0;0.0;27816.0;3420000.0;184,65;58361.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2000;3;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;13279.0;392.0;16469.0;10818.0;0.0;10220184.0;4860114.0;1255929.0;401137.0;239182.0;83814.0;229.0;6027654.0;3959388.0;0.0;27924.0;3431500.0;188,96;83942.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2000;4;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;12982.0;440.0;22368.0;9723.0;0.0;10269960.0;4751412.0;1262700.0;393432.0;235456.0;84180.0;230.0;8186688.0;3558618.0;0.0;28060.0;3450000.0;186,65;79250.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2000;5;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;17699.0;331.0;24328.0;12146.0;0.0;10984392.0;6477834.0;1350540.0;532861.0;248012.0;90036.0;246.0;8904048.0;4445436.0;0.0;30012.0;3690000.0;196,6;104493.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2000;6;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;17408.0;324.0;18793.0;10537.0;0.0;10091352.0;6371328.0;1240740.0;524084.0;230684.0;82716.0;226.0;6878238.0;3856542.0;0.0;27572.0;3390000.0;182,86;107842.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2000;7;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;17882.0;375.0;25294.0;12246.0;0.0;10761132.0;6544812.0;1323090.0;543869.0;585214.0;88206.0;241.0;9257604.0;4482036.0;0.0;29402.0;3615000.0;195,31;119860.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2000;8;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;15078.0;226.0;17396.0;6027.0;0.0;10359264.0;5518548.0;1273680.0;450105.0;556904.0;84912.0;232.0;6366936.0;2205882.0;0.0;28304.0;3480000.0;186,42;81881.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2000;9;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;13036.0;260.0;14909.0;9192.0;0.0;8930400.0;4771176.0;1098000.0;391670.0;476760.0;73200.0;200.0;5456694.0;3364272.0;0.0;24400.0;3000000.0;161,7;77800.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2000;10;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;13733.0;467.0;21965.0;5179.0;0.0;9823440.0;5026278.0;1207800.0;413010.0;504189.0;80520.0;220.0;8039190.0;1895514.0;0.0;26840.0;3300000.0;173,43;76795.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2000;11;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;12884.0;392.0;35182.0;3745.0;0.0;9153660.0;4715544.0;1125450.0;393016.0;489953.0;75030.0;205.0;12876612.0;1370670.0;0.0;25010.0;3075000.0;164,64;72598.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2000;12;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;41539.0;1436.0;129234.0;11558.0;0.0;32953176.0;15203274.0;4051620.0;1286293.0;1807502.0;270108.0;738.0;47299644.0;4230228.0;0.0;90036.0;11070000.0;601,21;270806.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2001;1;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;32749.0;1361.0;90813.0;5750.0;0.0;29425668.0;11986134.0;3617910.0;1002206.0;1446482.0;241194.0;659.0;33237558.0;2104500.0;0.0;80398.0;9885000.0;540,63;192198.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2001;2;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;31785.0;987.0;117996.0;8780.0;0.0;27728892.0;11633310.0;3409290.0;983563.0;1532214.0;227286.0;621.0;43186536.0;3213480.0;0.0;75762.0;9315000.0;515,31;186324.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2001;3;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;38663.0;911.0;139077.0;12109.0;0.0;33846216.0;14150658.0;4161420.0;1184982.0;1863732.0;277428.0;758.0;50902182.0;4431894.0;0.0;92476.0;11370000.0;626,65;199920.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2001;4;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;47453.0;1062.0;117361.0;9187.0;0.0;33533652.0;17367798.0;4122990.0;1442763.0;1693595.0;274866.0;751.0;42954126.0;3362442.0;0.0;91622.0;11265000.0;610,96;266651.0
